,region,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,isСomplete,house_material,balcony,passenger_elevator,is_apartments,is_auction,locate,is_metro,m_minute,m_type
501,msk,15500000,51.0,5.2,32.1,3,3,9,1,panel,0,1,0,1,Евро,1,10,walk
502,msk,35900000,66.3,7.0,44.8,3,2,14,0,monolith,0,0,0,1,Евро,1,10,walk
503,msk,55088750,101.63,20.326,50.815,3,54,57,1,monolith,0,1,0,0,Евро,1,10,walk
504,msk,71730000,79.7,10.0,49.0,3,17,19,0,monolith,0,4,1,0,Евро,1,10,walk
505,msk,214999900,118.7,10.0,59.35,3,2,6,1,monolithBrick,0,1,0,1,Евро,1,10,walk
507,msk,33000000,44.0,7.9,22.2,2,10,14,0,monolithBrick,0,0,0,1,Евро,1,10,walk
508,msk,38200000,77.3,20.0,50.0,3,26,37,1,monolithBrick,0,2,0,1,Евро,1,10,walk
509,msk,45449000,81.0,5.8,54.0,3,6,14,0,monolithBrick,0,4,0,1,Евро,1,10,walk
510,msk,153000000,94.1,7.0,47.05,3,2,8,1,monolithBrick,0,1,0,1,Евро,1,10,walk
511,msk,222069060,180.0,43.1,90.0,3,2,8,0,monolith,0,1,0,0,Евро,1,10,walk
512,msk,18270010,45.1,9.020000000000001,22.55,2,15,28,0,monolith,0,3,0,0,Евро,1,10,walk
513,msk,29990000,81.0,14.0,53.0,4,28,32,1,monolithBrick,0,4,0,1,Евро,1,10,walk
514,msk,31000000,105.2,30.0,64.0,4,14,25,1,panel,0,2,0,1,Евро,1,10,walk
515,msk,32473019,63.16,22.1,31.58,2,24,54,0,monolith,0,1,0,0,Евро,1,10,walk
516,msk,35217000,27.09,6.8,15.3,1,4,9,0,monolithBrick,0,0,1,0,Евро,1,10,walk
517,msk,38116000,73.3,16.8,32.6,2,12,21,1,monolith,0,1,0,0,Евро,1,10,walk
518,msk,42000000,70.0,14.0,56.0,3,11,14,0,monolithBrick,0,0,0,1,Евро,0,0,NO
519,msk,46000000,81.0,5.8,40.5,3,6,14,0,monolithBrick,0,0,0,1,Евро,0,0,NO
520,msk,49748560,104.8,38.9,40.2,3,21,25,0,monolith,0,0,0,0,Евро,1,10,walk
521,msk,51000000,67.8,12.0,36.0,3,10,16,0,monolithBrick,0,2,1,1,Евро,1,10,walk
522,msk,54000000,54.0,12.0,30.0,2,4,21,1,monolith,0,0,0,1,Евро,1,10,walk
523,msk,56000000,133.7,15.1,84.1,5,14,27,1,monolithBrick,0,0,0,1,Евро,1,10,walk
524,msk,57800913,73.51,5.4,26.0,2,18,26,0,monolith,0,2,1,0,Евро,1,10,walk
525,msk,69988700,92.0,15.0,56.0,4,3,14,0,monolithBrick,0,0,0,1,Евро,1,10,walk
526,msk,102900000,205.8,53.0,90.0,5,6,40,1,monolith,0,1,0,1,Евро,1,10,walk
527,msk,111960930,117.7,23.540000000000003,58.85,3,7,12,1,monolith,0,1,0,0,Евро,1,10,walk
528,msk,219000000,196.0,39.2,98.0,6,12,16,1,monolithBrick,0,1,0,1,Евро,1,10,walk
529,msk,4290000,15.5,4.5,11.0,1,4,5,1,monolith,0,1,1,1,Евро,1,10,walk
530,msk,27970000,49.4,20.7,17.9,1,9,13,1,monolith,0,1,0,0,Евро,1,10,walk
531,msk,29571060,41.54,8.308,12.0,1,28,28,1,monolithBrick,0,0,0,0,Евро,1,10,walk
532,msk,30085398,66.9,22.2,24.4,2,5,22,1,monolithBrick,0,22,0,0,Евро,1,10,walk
533,msk,32500000,81.48,28.5,40.74,3,24,51,1,monolith,0,2,0,1,Евро,1,10,walk
534,msk,33960000,44.1,8.82,22.05,2,3,6,1,brick,0,1,0,1,Евро,1,10,walk
535,msk,38530000,79.64,12.3,43.2,3,2,21,1,monolith,0,1,0,0,Евро,1,10,walk
536,msk,42000000,72.0,27.0,36.0,2,5,27,1,monolith,0,2,0,1,Евро,1,10,walk
537,msk,42543000,97.8,19.560000000000002,48.9,3,3,23,0,monolithBrick,0,2,0,0,Евро,1,10,walk
538,msk,42690247,103.1,20.62,51.55,3,15,15,1,monolithBrick,0,0,1,0,Евро,1,10,walk
539,msk,56800000,108.0,32.0,70.0,4,10,57,1,monolith,3,3,0,1,Евро,1,10,walk
540,msk,73535647,60.2,12.040000000000001,33.0,2,17,18,0,monolith,0,1,0,0,Евро,1,10,walk
541,msk,152625000,203.5,40.7,101.75,4,11,18,1,monolith,0,4,0,1,Евро,1,10,walk
542,msk,341000000,227.5,45.5,113.75,5,6,12,1,monolith,0,1,0,1,Евро,1,10,walk
543,msk,15900000,27.0,4.0,15.0,1,6,14,0,monolithBrick,0,0,0,1,Евро,1,10,walk
544,msk,18682720,39.2,13.0,15.4,1,25,34,0,monolith,0,2,0,0,Евро,1,10,walk
545,msk,21960000,72.0,7.0,45.2,3,7,21,1,monolith,0,0,1,0,Евро,1,10,walk
546,msk,25750000,43.0,17.0,14.0,1,4,14,0,monolithBrick,0,2,0,1,Евро,1,10,walk
547,msk,26400010,43.3,4.1,25.9,2,2,17,0,monolith,0,0,0,0,Евро,1,10,walk
548,msk,29378930,66.8,12.3,33.9,3,4,21,1,monolithBrick,0,2,1,0,Евро,1,10,walk
549,msk,36000000,69.0,25.0,30.0,3,2,14,1,monolith,0,2,0,1,Евро,1,10,walk
550,msk,36488039,109.7,21.94,82.3,2,40,58,1,monolith,0,0,0,0,Евро,1,10,walk
551,msk,36812322,64.4,23.2,27.8,3,7,28,1,monolith,0,0,0,0,Евро,1,10,walk
552,msk,38991932,63.3,7.2,41.1,2,11,13,0,monolith,0,0,1,0,Евро,1,10,walk
553,msk,39068609,83.45,16.69,41.725,3,3,28,0,monolith,0,0,0,0,Евро,1,10,walk
554,msk,47580000,36.6,7.32,18.3,1,6,9,1,monolith,0,0,1,0,Евро,1,10,walk
555,msk,52537050,93.9,26.6,33.5,2,5,12,0,monolithBrick,0,0,0,0,Евро,1,10,walk
556,msk,53949940,97.7,14.5,31.9,2,13,22,1,monolith,0,0,0,0,Евро,1,10,walk
557,msk,62000000,94.0,18.8,75.0,3,3,16,0,monolithBrick,0,0,0,1,Евро,1,10,walk
558,msk,65000000,95.0,15.0,60.0,4,13,14,1,monolithBrick,0,0,0,1,Евро,1,10,walk
559,msk,70000000,106.2,21.240000000000002,53.1,2,5,10,0,monolithBrick,0,0,0,1,Евро,1,10,walk
560,msk,84000000,140.0,16.5,85.0,4,6,19,0,monolith,1,0,0,1,Евро,1,10,walk
